idx,id,datetime,platform,cloud,collection_category,processing_level,has_lwir11,has_qa_pixel,date,month,out_file,out_exists
1,LC09_L2SP_197025_20260530_02_T1,2026-05-30T10:27:21.530768Z,landsat-9,83.22,T1,NA,TRUE,TRUE,2026-05-30,5,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20260530_lc09_l2sp_197025_20260530_02_t1_LST_C.tif,FALSE
2,LC09_L2SP_197024_20260530_02_T1,2026-05-30T10:26:57.656696Z,landsat-9,30.88,T1,NA,TRUE,TRUE,2026-05-30,5,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20260530_lc09_l2sp_197024_20260530_02_t1_LST_C.tif,FALSE
3,LC09_L2SP_196025_20260523_02_T1,2026-05-23T10:21:12.712721Z,landsat-9,13.5,T1,NA,TRUE,TRUE,2026-05-23,5,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20260523_lc09_l2sp_196025_20260523_02_t1_LST_C.tif,TRUE
4,LC09_L2SP_196024_20260523_02_T1,2026-05-23T10:20:48.842887Z,landsat-9,24.78,T1,NA,TRUE,TRUE,2026-05-23,5,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20260523_lc09_l2sp_196024_20260523_02_t1_LST_C.tif,TRUE
5,LC09_L2SP_196025_20260507_02_T2,2026-05-07T10:21:29.396762Z,landsat-9,85.38,T2,NA,TRUE,TRUE,2026-05-07,5,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20260507_lc09_l2sp_196025_20260507_02_t2_LST_C.tif,FALSE
6,LC09_L2SP_196024_20260507_02_T1,2026-05-07T10:21:05.518454Z,landsat-9,79.16,T1,NA,TRUE,TRUE,2026-05-07,5,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20260507_lc09_l2sp_196024_20260507_02_t1_LST_C.tif,FALSE
7,LC09_L2SP_197025_20260428_02_T1,2026-04-28T10:27:47.464465Z,landsat-9,8.3,T1,NA,TRUE,TRUE,2026-04-28,4,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20260428_lc09_l2sp_197025_20260428_02_t1_LST_C.tif,TRUE
8,LC09_L2SP_196025_20260421_02_T1,2026-04-21T10:21:39.574666Z,landsat-9,55.5,T1,NA,TRUE,TRUE,2026-04-21,4,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20260421_lc09_l2sp_196025_20260421_02_t1_LST_C.tif,FALSE
9,LC09_L2SP_196024_20260421_02_T1,2026-04-21T10:21:15.692122Z,landsat-9,11.77,T1,NA,TRUE,TRUE,2026-04-21,4,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20260421_lc09_l2sp_196024_20260421_02_t1_LST_C.tif,TRUE
10,LC08_L2SP_196025_20260413_02_T2,2026-04-13T10:21:28.207036Z,landsat-8,100,T2,NA,TRUE,TRUE,2026-04-13,4,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20260413_lc08_l2sp_196025_20260413_02_t2_LST_C.tif,FALSE
