idx,id,datetime,platform,cloud,collection_category,processing_level,has_lwir11,has_qa_pixel,date,month,out_file,out_exists
1093,LC08_L2SP_196025_20200412_02_T1,2020-04-12T10:21:30.785447Z,landsat-8,28.22,T1,NA,TRUE,TRUE,2020-04-12,4,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20200412_lc08_l2sp_196025_20200412_02_t1_LST_C.tif,TRUE
1094,LC08_L2SP_196024_20200412_02_T1,2020-04-12T10:21:06.907115Z,landsat-8,4.59,T1,NA,TRUE,TRUE,2020-04-12,4,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20200412_lc08_l2sp_196024_20200412_02_t1_LST_C.tif,TRUE
1084,LC08_L2SP_197024_20200505_02_T1,2020-05-05T10:27:05.857232Z,landsat-8,12.66,T1,NA,TRUE,TRUE,2020-05-05,5,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20200505_lc08_l2sp_197024_20200505_02_t1_LST_C.tif,TRUE
1077,LC08_L2SP_196025_20200514_02_T1,2020-05-14T10:21:18.360216Z,landsat-8,20.36,T1,NA,TRUE,TRUE,2020-05-14,5,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20200514_lc08_l2sp_196025_20200514_02_t1_LST_C.tif,TRUE
1075,LC08_L2SP_197025_20200521_02_T1,2020-05-21T10:27:30.729653Z,landsat-8,1.57,T1,NA,TRUE,TRUE,2020-05-21,5,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20200521_lc08_l2sp_197025_20200521_02_t1_LST_C.tif,TRUE
1076,LC08_L2SP_197024_20200521_02_T1,2020-05-21T10:27:06.847086Z,landsat-8,3.08,T1,NA,TRUE,TRUE,2020-05-21,5,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20200521_lc08_l2sp_197024_20200521_02_t1_LST_C.tif,TRUE
1069,LC08_L2SP_196025_20200530_02_T1,2020-05-30T10:21:22.251546Z,landsat-8,14.73,T1,NA,TRUE,TRUE,2020-05-30,5,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20200530_lc08_l2sp_196025_20200530_02_t1_LST_C.tif,TRUE
1070,LC08_L2SP_196024_20200530_02_T1,2020-05-30T10:20:58.364743Z,landsat-8,20.51,T1,NA,TRUE,TRUE,2020-05-30,5,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20200530_lc08_l2sp_196024_20200530_02_t1_LST_C.tif,TRUE
1021,LC08_L2SP_197025_20200910_02_T1,2020-09-10T10:28:17.416824Z,landsat-8,25.31,T1,NA,TRUE,TRUE,2020-09-10,9,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20200910_lc08_l2sp_197025_20200910_02_t1_LST_C.tif,TRUE
1015,LC08_L2SP_196025_20200919_02_T1,2020-09-19T10:22:09.579520Z,landsat-8,0.07,T1,NA,TRUE,TRUE,2020-09-19,9,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20200919_lc08_l2sp_196025_20200919_02_t1_LST_C.tif,TRUE
1016,LC08_L2SP_196024_20200919_02_T1,2020-09-19T10:21:45.692718Z,landsat-8,0.27,T1,NA,TRUE,TRUE,2020-09-19,9,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20200919_lc08_l2sp_196024_20200919_02_t1_LST_C.tif,TRUE
931,LC08_L2SP_197025_20210422_02_T1,2021-04-22T10:27:42.308488Z,landsat-8,4.16,T1,NA,TRUE,TRUE,2021-04-22,4,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20210422_lc08_l2sp_197025_20210422_02_t1_LST_C.tif,TRUE
909,LC08_L2SP_196025_20210602_02_T1,2021-06-02T10:21:38.797819Z,landsat-8,0.11,T1,NA,TRUE,TRUE,2021-06-02,6,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20210602_lc08_l2sp_196025_20210602_02_t1_LST_C.tif,TRUE
910,LC08_L2SP_196024_20210602_02_T1,2021-06-02T10:21:14.915252Z,landsat-8,14.13,T1,NA,TRUE,TRUE,2021-06-02,6,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20210602_lc08_l2sp_196024_20210602_02_t1_LST_C.tif,TRUE
902,LC08_L2SP_196024_20210618_02_T1,2021-06-18T10:21:20.787861Z,landsat-8,26.93,T1,NA,TRUE,TRUE,2021-06-18,6,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20210618_lc08_l2sp_196024_20210618_02_t1_LST_C.tif,TRUE
885,LC08_L2SP_196025_20210720_02_T1,2021-07-20T10:21:50.900371Z,landsat-8,24.3,T1,NA,TRUE,TRUE,2021-07-20,7,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20210720_lc08_l2sp_196025_20210720_02_t1_LST_C.tif,TRUE
876,LC08_L2SP_197024_20210812_02_T1,2021-08-12T10:27:48.333043Z,landsat-8,29.6,T1,NA,TRUE,TRUE,2021-08-12,8,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20210812_lc08_l2sp_197024_20210812_02_t1_LST_C.tif,FALSE
