id,date,datetime,platform,scene_cloud,mean_C,median_C,q10_C,q90_C,min_C,max_C,valid_pixels,valid_fraction,file,source,selected_file,aligned_file
LC08_L2SP_197025_20210422_02_T1,2021-04-22,2021-04-22T10:27:42.308488Z,landsat-8,4.16,15.937598248976553,15.79741096496582,11.203592300415039,20.958621978759766,0.6590002775192261,32.685848236083984,237690,0.27284623773173394,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20210422_lc08_l2sp_197025_20210422_02_t1_LST_C.tif,local_existing,data/landsat_lst/koeln/04_extremes/cold/scenes/20210422_lc08_l2sp_197025_20210422_02_t1_LST_C.tif,data/landsat_lst/koeln/04_extremes/cold/aligned/aligned_01_20210422_lc08_l2sp_197025_20210422_02_t1_LST_C.tif
LC09_L2SP_197024_20230404_02_T1,2023-04-04,2023-04-04T10:27:37.828851Z,landsat-9,0.61,14.862117340943593,14.782258987426758,11.268534660339355,18.179771423339844,8.199151992797852,35.23569107055664,451753,0.5280609799718058,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20230404_lc09_l2sp_197024_20230404_02_t1_LST_C.tif,local_existing,data/landsat_lst/koeln/04_extremes/cold/scenes/20230404_lc09_l2sp_197024_20230404_02_t1_LST_C.tif,data/landsat_lst/koeln/04_extremes/cold/aligned/aligned_02_20230404_lc09_l2sp_197024_20230404_02_t1_LST_C.tif
LC09_L2SP_197025_20230404_02_T1,2023-04-04,2023-04-04T10:28:01.711395Z,landsat-9,1.83,14.975018320248793,14.94290542602539,11.408673286437988,18.244712829589844,8.223078727722168,35.23227310180664,405143,0.46506686563737587,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20230404_lc09_l2sp_197025_20230404_02_t1_LST_C.tif,local_existing,data/landsat_lst/koeln/04_extremes/cold/scenes/20230404_lc09_l2sp_197025_20230404_02_t1_LST_C.tif,data/landsat_lst/koeln/04_extremes/cold/aligned/aligned_03_20230404_lc09_l2sp_197025_20230404_02_t1_LST_C.tif
LC09_L2SP_196025_20240415_02_T1,2024-04-15,2024-04-15T10:21:46.643490Z,landsat-9,28.03,12.853657754547394,13.134773254394531,11.449689865112305,14.016622543334961,6.589264869689941,14.830111503601074,669,7.820043156351768e-4,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20240415_lc09_l2sp_196025_20240415_02_t1_LST_C.tif,local_existing,data/landsat_lst/koeln/04_extremes/cold/scenes/20240415_lc09_l2sp_196025_20240415_02_t1_LST_C.tif,data/landsat_lst/koeln/04_extremes/cold/aligned/aligned_04_20240415_lc09_l2sp_196025_20240415_02_t1_LST_C.tif
LC08_L2SP_197024_20200505_02_T1,2020-05-05,2020-05-05T10:27:05.857232Z,landsat-8,12.66,17.50809352519735,17.60896110534668,12.263177871704102,22.394189834594727,6.168848514556885,44.3481330871582,416100,0.4863856438502199,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20200505_lc08_l2sp_197024_20200505_02_t1_LST_C.tif,local_existing,data/landsat_lst/koeln/04_extremes/cold/scenes/20200505_lc08_l2sp_197024_20200505_02_t1_LST_C.tif,data/landsat_lst/koeln/04_extremes/cold/aligned/aligned_05_20200505_lc08_l2sp_197024_20200505_02_t1_LST_C.tif
LC08_L2SP_196025_20240423_02_T1,2024-04-23,2024-04-23T10:21:21.260906Z,landsat-8,27.77,17.752416271774383,17.520092010498047,12.536620140075684,22.852203369140625,7.505294322967529,41.62738800048828,300338,0.3510696743635841,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20240423_lc08_l2sp_196025_20240423_02_t1_LST_C.tif,local_existing,data/landsat_lst/koeln/04_extremes/cold/scenes/20240423_lc08_l2sp_196025_20240423_02_t1_LST_C.tif,data/landsat_lst/koeln/04_extremes/cold/aligned/aligned_06_20240423_lc08_l2sp_196025_20240423_02_t1_LST_C.tif
LC08_L2SP_196024_20230405_02_T1,2023-04-05,2023-04-05T10:21:11.502167Z,landsat-8,6.71,16.63385159829449,16.34429359436035,13.141609191894531,20.104116439819336,10.273890495300293,38.650291442871094,130390,0.152414862056309,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20230405_lc08_l2sp_196024_20230405_02_t1_LST_C.tif,local_existing,data/landsat_lst/koeln/04_extremes/cold/scenes/20230405_lc08_l2sp_196024_20230405_02_t1_LST_C.tif,data/landsat_lst/koeln/04_extremes/cold/aligned/aligned_07_20230405_lc08_l2sp_196024_20230405_02_t1_LST_C.tif
LC08_L2SP_196025_20230405_02_T1,2023-04-05,2023-04-05T10:21:35.380497Z,landsat-8,2.46,17.184744924489483,17.11334800720215,13.466320991516113,20.835573196411133,9.621048927307129,38.636619567871094,449450,0.5253689681049779,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20230405_lc08_l2sp_196025_20230405_02_t1_LST_C.tif,local_existing,data/landsat_lst/koeln/04_extremes/cold/scenes/20230405_lc08_l2sp_196025_20230405_02_t1_LST_C.tif,data/landsat_lst/koeln/04_extremes/cold/aligned/aligned_08_20230405_lc08_l2sp_196025_20230405_02_t1_LST_C.tif
LC09_L2SP_196024_20260523_02_T1,2026-05-23,2026-05-23T10:20:48.842887Z,landsat-9,24.78,15.967218929775015,15.643599510192871,14.174534606933594,19.184669494628906,11.333477020263672,21.461069107055664,1867,0.002182364809104447,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20260523_lc09_l2sp_196024_20260523_02_t1_LST_C.tif,local_existing,data/landsat_lst/koeln/04_extremes/cold/scenes/20260523_lc09_l2sp_196024_20260523_02_t1_LST_C.tif,data/landsat_lst/koeln/04_extremes/cold/aligned/aligned_09_20260523_lc09_l2sp_196024_20260523_02_t1_LST_C.tif
LC09_L2SP_196024_20260421_02_T1,2026-04-21,2026-04-21T10:21:15.692122Z,landsat-9,11.77,18.314665559878748,17.991779327392578,14.748078346252441,22.096820831298828,9.843219757080078,37.392459869384766,117242,0.13704596408624725,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20260421_lc09_l2sp_196024_20260421_02_t1_LST_C.tif,local_existing,data/landsat_lst/koeln/04_extremes/cold/scenes/20260421_lc09_l2sp_196024_20260421_02_t1_LST_C.tif,data/landsat_lst/koeln/04_extremes/cold/aligned/aligned_10_20260421_lc09_l2sp_196024_20260421_02_t1_LST_C.tif
