id,date,datetime,platform,scene_cloud,mean_C,median_C,q10_C,q90_C,min_C,max_C,valid_pixels,valid_fraction,file,source,selected_file,aligned_file
LC08_L2SP_196025_20240813_02_T1,2024-08-13,2024-08-13T10:21:32.310218Z,landsat-8,1.67,42.939032589661586,43.52096939086914,35.587745666503906,49.28375244140625,25.28241729736328,70.09607696533203,448077,0.5237640474392573,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20240813_lc08_l2sp_196025_20240813_02_t1_LST_C.tif,local_existing,data/landsat_lst/koeln/04_extremes/hot/scenes/20240813_lc08_l2sp_196025_20240813_02_t1_LST_C.tif,data/landsat_lst/koeln/04_extremes/hot/aligned/aligned_01_20240813_lc08_l2sp_196025_20240813_02_t1_LST_C.tif
LC08_L2SP_196024_20240813_02_T1,2024-08-13,2024-08-13T10:21:08.423414Z,landsat-8,2.32,42.07306872075198,42.22212219238281,35.20834732055664,48.83599090576172,24.516780853271484,70.09265899658203,112390,0.1313743871961697,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20240813_lc08_l2sp_196024_20240813_02_t1_LST_C.tif,local_existing,data/landsat_lst/koeln/04_extremes/hot/scenes/20240813_lc08_l2sp_196024_20240813_02_t1_LST_C.tif,data/landsat_lst/koeln/04_extremes/hot/aligned/aligned_02_20240813_lc08_l2sp_196024_20240813_02_t1_LST_C.tif
LC09_L2SP_197024_20230709_02_T1,2023-07-09,2023-07-09T10:27:14.799562Z,landsat-9,4.58,40.80633192732261,41.316349029541016,34.67855453491211,46.0571403503418,25.31659698486328,65.78936767578125,452505,0.5289400042548515,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20230709_lc09_l2sp_197024_20230709_02_t1_LST_C.tif,local_existing,data/landsat_lst/koeln/04_extremes/hot/scenes/20230709_lc09_l2sp_197024_20230709_02_t1_LST_C.tif,data/landsat_lst/koeln/04_extremes/hot/aligned/aligned_03_20230709_lc09_l2sp_197024_20230709_02_t1_LST_C.tif
LC08_L2SP_196025_20240626_02_T1,2024-06-26,2024-06-26T10:21:10.137345Z,landsat-8,4.06,37.01026386385462,36.831905364990234,30.399192810058594,43.83884811401367,22.841949462890625,66.09357452392578,451633,0.5279207101394048,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20240626_lc08_l2sp_196025_20240626_02_t1_LST_C.tif,local_existing,data/landsat_lst/koeln/04_extremes/hot/scenes/20240626_lc08_l2sp_196025_20240626_02_t1_LST_C.tif,data/landsat_lst/koeln/04_extremes/hot/aligned/aligned_04_20240626_lc08_l2sp_196025_20240626_02_t1_LST_C.tif
LC09_L2SP_196025_20240720_02_T1,2024-07-20,2024-07-20T10:21:20.686730Z,landsat-9,3.12,37.33155494122615,37.53260040283203,30.621362686157227,43.53122329711914,24.42449378967285,64.22391510009766,452377,0.5287903831002906,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20240720_lc09_l2sp_196025_20240720_02_t1_LST_C.tif,local_existing,data/landsat_lst/koeln/04_extremes/hot/scenes/20240720_lc09_l2sp_196025_20240720_02_t1_LST_C.tif,data/landsat_lst/koeln/04_extremes/hot/aligned/aligned_05_20240720_lc09_l2sp_196025_20240720_02_t1_LST_C.tif
LC08_L2SP_196025_20250629_02_T1,2025-06-29,2025-06-29T10:21:38.668219Z,landsat-8,3.85,37.606302547492874,37.7855339050293,30.881134033203125,43.51071548461914,25.791702270507812,62.07740020751953,358499,0.41905495538250415,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20250629_lc08_l2sp_196025_20250629_02_t1_LST_C.tif,local_existing,data/landsat_lst/koeln/04_extremes/hot/scenes/20250629_lc08_l2sp_196025_20250629_02_t1_LST_C.tif,data/landsat_lst/koeln/04_extremes/hot/aligned/aligned_06_20250629_lc08_l2sp_196025_20250629_02_t1_LST_C.tif
LC08_L2SP_196024_20250629_02_T1,2025-06-29,2025-06-29T10:21:14.781415Z,landsat-8,28.78,37.06463272877944,36.9481201171875,30.69655990600586,42.98775863647461,27.001680374145508,60.52561950683594,110727,0.12943048110214683,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20250629_lc08_l2sp_196024_20250629_02_t1_LST_C.tif,local_existing,data/landsat_lst/koeln/04_extremes/hot/scenes/20250629_lc08_l2sp_196024_20250629_02_t1_LST_C.tif,data/landsat_lst/koeln/04_extremes/hot/aligned/aligned_07_20250629_lc08_l2sp_196024_20250629_02_t1_LST_C.tif
LC08_L2SP_196024_20240626_02_T1,2024-06-26,2024-06-26T10:20:46.250541Z,landsat-8,1.23,35.73690260895169,34.83919906616211,29.992448806762695,42.47163772583008,22.831695556640625,66.00128936767578,116016,0.13561287396521776,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20240626_lc08_l2sp_196024_20240626_02_t1_LST_C.tif,local_existing,data/landsat_lst/koeln/04_extremes/hot/scenes/20240626_lc08_l2sp_196024_20240626_02_t1_LST_C.tif,data/landsat_lst/koeln/04_extremes/hot/aligned/aligned_08_20240626_lc08_l2sp_196024_20240626_02_t1_LST_C.tif
LC09_L2SP_197025_20240625_02_T1,2024-06-25,2024-06-25T10:27:07.239632Z,landsat-9,0.68,35.856239874212385,35.82700729370117,29.172122955322266,42.43062210083008,22.667631149291992,63.75564956665039,407331,0.46757848820524595,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20240625_lc09_l2sp_197025_20240625_02_t1_LST_C.tif,local_existing,data/landsat_lst/koeln/04_extremes/hot/scenes/20240625_lc09_l2sp_197025_20240625_02_t1_LST_C.tif,data/landsat_lst/koeln/04_extremes/hot/aligned/aligned_09_20240625_lc09_l2sp_197025_20240625_02_t1_LST_C.tif
LC08_L2SP_196025_20230624_02_T1,2023-06-24,2023-06-24T10:21:23.530370Z,landsat-8,17.95,36.42861980721511,36.43883514404297,29.879653930664062,42.42036819458008,23.98698616027832,64.51786804199219,384125,0.44900957809172243,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20230624_lc08_l2sp_196025_20230624_02_t1_LST_C.tif,local_existing,data/landsat_lst/koeln/04_extremes/hot/scenes/20230624_lc08_l2sp_196025_20230624_02_t1_LST_C.tif,data/landsat_lst/koeln/04_extremes/hot/aligned/aligned_10_20230624_lc08_l2sp_196025_20230624_02_t1_LST_C.tif
